model_name,hayati_politeness,alias,contextual-abuse#PersonDirectedAbuse,implicit-hate#explicit_hate,complaints,hypo-l,contextual-abuse#IdentityDirectedAbuse,empathy#distress_bin,hasbiasedimplication,rumor#rumor_bool,stanfordpoliteness,questionintimacy,hahackathon#is_humor,hateoffensive,intentyn,dailydialog,tweet_emotion,crowdflower,sarc,tweet_irony,tweet_offensive,implicit-hate#implicit_hate,implicit-hate#stereotypical_hate,two-to-lie#receiver_truth
hlab/SocialiteLlama_predictions_zero-shot.json,0.125,Socialite,0.17918215613382898,0.2105,0.13043478260869565,0.32507739938080493,0.16356877323420074,0.0967741935483871,0.212,0.44366197183098594,0.20811287477954143,0.13333333333333333,0.073,0.13545816733067728,0.295,0.054,0.11541168191414497,0.0275,0.247,0.16071428571428573,0.17325581395348838,0.2035,0.2935,0.06223358908780904
meta-llama/Llama-2-7b-chat-hf_predictions_zero-shot.json,0.28125,Llama-2 Zero-Shot,0.10260223048327137,0.0895,0.43768115942028984,0.2693498452012384,0.0758364312267658,0.04838709677419355,0.2445,0.28169014084507044,0.5502645502645502,0.15555555555555556,0.459,0.502788844621514,0.0895,0.167,0.44968332160450386,0.2145,0.4,0.3125,0.4116279069767442,0.0845,0.0465,0.49019607843137253
meta-llama/Meta-Llama-3-8B-Instruct_predictions_zero-shot.json,0.84375,Llama-3 Zero-Shot,0.670631970260223,0.6645,0.8057971014492754,0.6656346749226006,0.7078066914498141,0.2849462365591398,0.463,0.5140845070422535,0.6402116402116402,0.2,0.765,0.48844621513944225,0.5655,0.382,0.724841660802252,0.179,0.5105,0.5395408163265306,0.6930232558139535,0.589,0.3285,0.3657289002557545
meta-llama/Llama-2-7b-chat-hf_predictions_RAG.json,0.6875,Llama-2 RAG,0.1821561338289963,0.1255,0.7797101449275362,0.5572755417956656,0.2550185873605948,0.553763440860215,0.5735,0.8873239436619719,0.6649029982363316,0.20444444444444446,0.462,0.6254980079681275,0.4625,0.1065,0.6798029556650246,0.224,0.451,0.36607142857142855,0.7232558139534884,0.108,0.7245,0.8994032395566922
meta-llama/Meta-Llama-3-8B-Instruct_predictions_knowledge.json,0.65625,Llama-3 Knowledge,0.6550185873605948,0.517,0.8782608695652174,0.6934984520123839,0.7576208178438661,0.5967741935483871,0.4985,0.5422535211267606,0.6437389770723104,0.20444444444444446,0.864,0.4239043824701195,0.289,0.3355,0.7755102040816326,0.2425,0.5905,0.6632653061224489,0.7023255813953488,0.4935,0.4985,0.6129582267689685
meta-llama/Llama-2-7b-chat-hf_predictions_knowledge.json,0.4375,Llama-2 Knowledge,0.4795539033457249,0.1415,0.6492753623188405,0.4024767801857585,0.5152416356877323,0.5645161290322581,0.4255,0.6056338028169014,0.6208112874779541,0.2222222222222222,0.56,0.3258964143426295,0.157,0.5605,0.6228008444757214,0.2875,0.4915,0.49744897959183676,0.5767441860465117,0.202,0.1635,0.43052003410059675
meta-llama/Meta-Llama-3-8B-Instruct_predictions_RAG.json,0.65625,Llama-3 RAG,0.46022304832713756,0.447,0.808695652173913,0.5356037151702786,0.5159851301115241,0.6666666666666666,0.432,0.5492957746478874,0.6208112874779541,0.2,0.636,0.4398406374501992,0.261,0.109,0.7705840957072484,0.282,0.5335,0.5510204081632653,0.6976744186046512,0.45,0.378,0.6820119352088662
AndersGiovanni/social-llama-3-8b-instructions_predictions_zero-shot.json,0.6875,Social-Llama-3 Instructions,0.9784386617100371,0.9465,0.8173913043478261,0.7213622291021672,0.9732342007434944,0.5,0.8325,0.6690140845070423,0.5502645502645502,0.3466666666666667,0.933,0.8414342629482072,0.7405,0.655,0.7501759324419423,0.3525,0.6275,0.7882653061224489,0.6883720930232559,0.737,0.929,0.9326513213981245
AndersGiovanni/social-llama-7b-beta_predictions_zero-shot.json,0.375,Social-Llama-2 Zero-Shot,0.10483271375464684,0.1385,0.5623188405797102,0.3498452012383901,0.10185873605947955,0.17204301075268819,0.39,0.45774647887323944,0.582010582010582,0.22666666666666666,0.564,0.5482071713147411,0.251,0.1535,0.4975369458128079,0.235,0.4745,0.4642857142857143,0.5337209302325582,0.2675,0.15,0.5490196078431373
AndersGiovanni/social-llama-7b-instructions_predictions_zero-shot.json,0.25,Social-Llama-2 Instructions,0.05204460966542751,0.799,0.5594202898550724,0.6718266253869969,0.001486988847583643,0.4946236559139785,0.767,0.5915492957746479,0.43915343915343913,0.18222222222222223,0.548,0.7760956175298804,0.595,0.7815,0.3194933145672062,0.1535,0.216,0.6377551020408163,0.5058139534883721,0.4655,0.7685,0.4492753623188406
AndersGiovanni/social-llama-3-8b-beta_predictions_zero-shot.json,0.84375,Social-Llama-3 Zero-Shot,0.9925650557620818,0.9505,0.8724637681159421,0.7120743034055728,0.9843866171003718,0.6021505376344086,0.577,0.647887323943662,0.5485008818342152,0.3511111111111111,0.904,0.8382470119521912,0.7185,0.8365,0.7213230119634061,0.286,0.4985,0.889030612244898,0.8220930232558139,0.762,0.953,0.9437340153452686
