type,task,question,options,knowledge
PAIR,talkdown-pairs,"For the quote ""{text_a}"" and its context ""{text_b}"", is the quote condescending?","['No', 'Yes']"
REG,hahackathon#humor_rating,"Determine the degree of humor of the given sentence: ""{text}"". The score should be ranging from 0.0 to 5.0, and can be a decimal. 0 is not humorous at all, and 5 is very humorous.",
CLS,hahackathon#is_humor,"For the sentence: ""{text}"", is it humorous?","['No', 'Yes']","'No': This label is used if the sentence lacks humor, meaning it does not intend to amuse or invoke laughter. 'Yes': This label applies if the sentence is humorous, indicating it is meant to be funny, witty, or amusing."
PAIR,humor-pairs,"The first sentence is ""{text_a}"". The second sentence is ""{text_b}"". Is the first sentence funnier than the second sentence?","['Yes', 'No']"
CLS,sarc,"For the sentence: ""{text}"", is it sarcastic?","['Yes', 'No']","'Yes': This label indicates the sentence is sarcastic, meaning it conveys irony or mocks with a tone of detachment or insincerity. 'No': This label is used if the sentence is not sarcastic, implying a straightforward or sincere expression without irony."
CLS,tweet_irony,"For the sentence: ""{text}"", is it ironic?","['No', 'Yes']","'No': This label signifies that the sentence is not ironic, meaning it expresses ideas or statements in a direct and sincere manner. 'Yes': This label applies if the sentence is ironic, indicating a use of words to convey a meaning opposite to their literal meaning, often for humorous or emphatic effect."
CLS,contextual-abuse#IdentityDirectedAbuse,"For the sentence: ""{text}"", is it identity directed abuse?","['No', 'Yes']","'No': This label indicates that the sentence does not contain identity directed abuse, meaning it lacks elements of hostility or derogation targeted at a person's identity or group affiliation. 'Yes': This label is assigned if the sentence is identity directed abuse, signifying that it includes language or sentiments that are hostile or derogatory towards a person's identity or group affiliation."
CLS,contextual-abuse#PersonDirectedAbuse,"For the sentence: ""{text}"", is it person directed abuse?","['No', 'Yes']","'No': This label indicates the sentence does not contain person directed abuse, meaning it lacks language or content that is hostile, derogatory, or abusive towards a specific individual. 'Yes': This label is used if the sentence is person directed abuse, signifying it includes language or content that is hostile, derogatory, or abusive towards a specific individual."
REG,hahackathon#offense_rating,"Determine the degree of offense of the given sentence: ""{text}"". The score should be ranging from 0.0 to 5.0, and can be a decimal.",
CLS,hasbiasedimplication,"For the sentence: ""{text}"", does it imply some biases?","['No', 'Yes']"
CLS,hateoffensive,"For the sentence: ""{text}"", is it hate or offensive?","['Hate', 'Offensive', 'Neither']","'Hate': This label is assigned if the sentence contains hate speech, characterized by expressions of hatred or hostility towards a person or group based on attributes such as race, religion, ethnic origin, sexual orientation, disability, or gender. 'Offensive': This label applies to sentences that are offensive, indicating they might be rude, disrespectful, or distasteful, but not necessarily rising to the level of hate speech. 'Neither': This label is used if the sentence does not qualify as either hate speech or offensive, implying it is free from hateful or offensive content."
CLS,implicit-hate#explicit_hate,"For the sentence: ""{text}"", is it explicit hate?","['No', 'Yes']","'No': This label indicates that the sentence does not contain explicit hate, meaning it lacks clear, direct expressions of intense dislike or hostility, particularly towards a group or individual based on characteristics like race, religion, gender, etc. 'Yes': This label is used if the sentence is explicit hate, signifying it includes direct, unambiguous expressions of intense dislike or hostility towards a group or individual based on their characteristics or identity."
CLS,implicit-hate#implicit_hate,"For the sentence: ""{text}"", is it implicitly hateful?","['No', 'Yes']","'No': This label is used if the sentence does not contain implicitly hateful content, meaning it lacks indirect or subtle expressions of hostility or dislike towards a group or individual based on their characteristics or identity. 'Yes': This label indicates that the sentence is implicitly hateful, signifying it includes indirect, subtle, or implied expressions of hostility or dislike, often masked or not immediately obvious, directed towards a group or individual based on their characteristics or identity."
CLS,implicit-hate#incitement_hate,"For the sentence: ""{text}"", is it a hateful incitement to act?","['No', 'Yes']"
CLS,implicit-hate#inferiority_hate,"For the sentence: ""{text}"", is it inferiority hate?","['No', 'Yes']"
CLS,implicit-hate#stereotypical_hate,"For the sentence: ""{text}"", is it a hateful message involving stereotypes?","['No', 'Yes']"
CLS,implicit-hate#threatening_hate,"For the sentence: ""{text}"", is it hateful in a threatening way?","['No', 'Yes']"
CLS,implicit-hate#white_grievance_hate,"For the sentence: ""{text}"", is it white grievance hate?","['No', 'Yes']"
CLS,intentyn,"For the sentence: ""{text}"", is it intentional?","['No', 'Yes']"
CLS,jigsaw#identity_hate,"For the sentence: ""{text}"", is it identity hate?","['No', 'Yes']"
