type,task,question,options,knowledge
PAIR,talkdown-pairs,"For the quote ""{text_a}"" and its context ""{text_b}"", is the quote condescending?","['No', 'Yes']"
REG,hahackathon#humor_rating,"Determine the degree of humor of the given sentence: ""{text}"". The score should be ranging from 0.0 to 5.0, and can be a decimal. 0 is not humorous at all, and 5 is very humorous.",
CLS,hahackathon#is_humor,"For the sentence: ""{text}"", is it humorous?","['No', 'Yes']","'No': This label is used if the sentence lacks humor, meaning it does not intend to amuse or invoke laughter. 'Yes': This label applies if the sentence is humorous, indicating it is meant to be funny, witty, or amusing."
PAIR,humor-pairs,"The first sentence is ""{text_a}"". The second sentence is ""{text_b}"". Is the first sentence funnier than the second sentence?","['Yes', 'No']"
CLS,sarc,"For the sentence: ""{text}"", is it sarcastic?","['Yes', 'No']","'Yes': This label indicates the sentence is sarcastic, meaning it conveys irony or mocks with a tone of detachment or insincerity. 'No': This label is used if the sentence is not sarcastic, implying a straightforward or sincere expression without irony."
CLS,tweet_irony,"For the sentence: ""{text}"", is it ironic?","['No', 'Yes']","Definition of irony in a text: The text expresses an evaluation whose literal polarity is the opposite of the intended polarity. "
CLS,contextual-abuse#IdentityDirectedAbuse,"For the sentence: ""{text}"", is it identity directed abuse?","['No', 'Yes']","Definition of “identity directed abuse”: Content which contains a negative statement made against an identity. An ‘identity’ is a social category that relates to a fundamental aspect of individuals’ community, socio-demographics, position or self-representation. It includes but is not limited to Religion, Race, Ethnicity, Gender, Sexuality, Nationality, Disability/Ableness and Class."
CLS,contextual-abuse#PersonDirectedAbuse,"For the sentence: ""{text}"", is it person directed abuse?","['No', 'Yes']","Definition of “person directed abuse”: Content which directs negativity against an identifiable person, who is either part of the conversation thread or is named. Person-directed abuse includes serious character based attacks, such as accusing the person of lying, as well as aggression, insults and menacing language."
REG,hahackathon#offense_rating,"Determine the degree of offense of the given sentence: ""{text}"". The score should be ranging from 0.0 to 5.0, and can be a decimal.",
CLS,hasbiasedimplication,"For the sentence: ""{text}"", does it imply some biases?","['No', 'Yes']"
CLS,hateoffensive,"For the sentence: ""{text}"", is it hate or offensive?","['Hate', 'Offensive', 'Neither']","'Hate': we define hate speech as language that is used to expresses hatred towards a targeted group or is intended to be derogatory, to humiliate, or to insult the members of the group"
CLS,implicit-hate#explicit_hate,"For the sentence: ""{text}"", is it explicit hate?","['No', 'Yes']","Explicit hate: explicit hate speech contains explicit keywords directed towards a protected entity."
CLS,implicit-hate#implicit_hate,"For the sentence: ""{text}"", is it implicitly hateful?","['No', 'Yes']","Implicit hate: coded or indirect language that disparages a person or group on the basis of protected characteristics like race, gender, and cultural identity."
CLS,implicit-hate#incitement_hate,"For the sentence: ""{text}"", is it a hateful incitement to act?","['No', 'Yes']"
CLS,implicit-hate#inferiority_hate,"For the sentence: ""{text}"", is it inferiority hate?","['No', 'Yes']"
CLS,implicit-hate#stereotypical_hate,"For the sentence: ""{text}"", is it a hateful message involving stereotypes?","['No', 'Yes']"
CLS,implicit-hate#threatening_hate,"For the sentence: ""{text}"", is it hateful in a threatening way?","['No', 'Yes']"
CLS,implicit-hate#white_grievance_hate,"For the sentence: ""{text}"", is it white grievance hate?","['No', 'Yes']"
CLS,intentyn,"For the sentence: ""{text}"", is it intentional?","['No', 'Yes']"
CLS,jigsaw#identity_hate,"For the sentence: ""{text}"", is it identity hate?","['No', 'Yes']"
CLS,jigsaw#insult,"For the sentence: ""{text}"", is it an insult?","['No', 'Yes']"
CLS,jigsaw#obscene,"For the sentence: ""{text}"", is it obscene?","['No', 'Yes']"
CLS,jigsaw#severe_toxic,"For the sentence: ""{text}"", is it severely toxic?","['No', 'Yes']"
CLS,jigsaw#threat,"For the sentence: ""{text}"", is it a threat?","['No', 'Yes']"
CLS,jigsaw#toxic,"For the sentence: ""{text}"", is it toxic?","['No', 'Yes']"
CLS,offensiveyn,"For the sentence: ""{text}"", is it offensive?","['No', 'Yes']"
CLS,sexyn,"For the sentence: ""{text}"", is it sexist?","['No', 'Yes']"
SPAN,toxic-span,"In the sentence: ""{text}"", which part of it can be identified as toxic?",
CLS,tweet_offensive,"For the sentence: ""{text}"", is it offensive?","['No', 'Yes']"
